"Series Description","4-week Treasury bill secondary market rate   discount basis"
"Unit:","Percent:_Per_Year"
"Multiplier:","1"
"Currency:","NA"
"Unique Identifier: ","H15/H15/RIFSGFSW04_N.B"
"Time Period","RIFSGFSW04_N.B"
2001-07-31,3.61
2001-08-01,3.60
2001-08-02,3.60
2001-08-03,3.58
2001-08-06,3.58
2001-08-07,3.57
2001-08-08,3.56
2001-08-09,3.56
2001-08-10,3.54
2001-08-13,3.53
2001-08-14,3.48
2001-08-15,3.47
2001-08-16,3.43
2001-08-17,3.41
2001-08-20,3.43
2001-08-21,3.41
2001-08-22,3.41
2001-08-23,3.44
2001-08-24,3.44
2001-08-27,3.47
2001-08-28,3.47
2001-08-29,3.43
2001-08-30,3.36
2001-08-31,3.35
2001-09-03,ND
2001-09-04,3.38
2001-09-05,3.43
2001-09-06,3.39
2001-09-07,3.35
2001-09-10,3.36
2001-09-11,ND
2001-09-12,ND
2001-09-13,2.69
2001-09-14,2.48
2001-09-17,2.40
2001-09-18,2.30
2001-09-19,1.97
2001-09-20,2.00
2001-09-21,2.08
2001-09-24,2.35
2001-09-25,2.54
2001-09-26,2.47
2001-09-27,2.30
2001-09-28,2.24
2001-10-01,2.21
2001-10-02,2.24
2001-10-03,2.17
2001-10-04,2.19
2001-10-05,2.18
2001-10-08,ND
2001-10-09,2.21
2001-10-10,2.27
2001-10-11,2.27
2001-10-12,2.28
2001-10-15,2.31
2001-10-16,2.29
2001-10-17,2.31
2001-10-18,2.25
2001-10-19,2.27
2001-10-22,2.27
2001-10-23,2.28
2001-10-24,2.27
2001-10-25,2.24
2001-10-26,2.23
2001-10-29,2.23
2001-10-30,2.14
2001-10-31,2.12
2001-11-01,2.15
2001-11-02,2.06
2001-11-05,2.03
2001-11-06,1.95
2001-11-07,1.90
2001-11-08,1.90
2001-11-09,1.90
2001-11-12,ND
2001-11-13,1.93
2001-11-14,1.96
2001-11-15,1.96
2001-11-16,1.99
2001-11-19,2.00
2001-11-20,1.99
2001-11-21,1.97
2001-11-22,ND
2001-11-23,1.98
2001-11-26,1.98
2001-11-27,1.98
2001-11-28,1.93
2001-11-29,1.88
2001-11-30,1.85
2001-12-03,1.83
2001-12-04,1.78
2001-12-05,1.74
2001-12-06,1.70
2001-12-07,1.66
2001-12-10,1.65
2001-12-11,1.64
2001-12-12,1.67
2001-12-13,1.67
2001-12-14,1.67
2001-12-17,1.69
2001-12-18,1.69
2001-12-19,1.66
2001-12-20,1.64
2001-12-21,1.64
2001-12-24,1.63
2001-12-25,ND
2001-12-26,1.74
2001-12-27,1.72
2001-12-28,1.70
2001-12-31,1.65
2002-01-01,ND
2002-01-02,1.70
2002-01-03,1.70
2002-01-04,1.69
2002-01-07,1.68
2002-01-08,1.67
2002-01-09,1.65
2002-01-10,1.64
2002-01-11,1.60
2002-01-14,1.60
2002-01-15,1.62
2002-01-16,1.60
2002-01-17,1.57
2002-01-18,1.57
2002-01-21,ND
2002-01-22,1.64
2002-01-23,1.67
2002-01-24,1.66
2002-01-25,1.66
2002-01-28,1.68
2002-01-29,1.69
2002-01-30,1.67
2002-01-31,1.66
2002-02-01,1.66
2002-02-04,1.67
2002-02-05,1.71
2002-02-06,1.70
2002-02-07,1.68
2002-02-08,1.66
2002-02-11,1.70
2002-02-12,1.73
2002-02-13,1.72
2002-02-14,1.72
2002-02-15,1.69
2002-02-18,ND
2002-02-19,1.70
2002-02-20,1.72
2002-02-21,1.73
2002-02-22,1.72
2002-02-25,1.73
2002-02-26,1.75
2002-02-27,1.74
2002-02-28,1.73
2002-03-01,1.75
2002-03-04,1.74
2002-03-05,1.75
2002-03-06,1.74
2002-03-07,1.74
2002-03-08,1.74
2002-03-11,1.77
2002-03-12,1.79
2002-03-13,1.77
2002-03-14,1.76
2002-03-15,1.76
2002-03-18,1.74
2002-03-19,1.78
2002-03-20,1.76
2002-03-21,1.75
2002-03-22,1.75
2002-03-25,1.75
2002-03-26,1.79
2002-03-27,1.74
2002-03-28,1.73
2002-03-29,ND
2002-04-01,1.76
2002-04-02,1.76
2002-04-03,1.74
2002-04-04,1.74
2002-04-05,1.73
2002-04-08,1.73
2002-04-09,1.70
2002-04-10,1.69
2002-04-11,1.69
2002-04-12,1.69
2002-04-15,1.68
2002-04-16,1.68
2002-04-17,1.68
2002-04-18,1.67
2002-04-19,1.66
2002-04-22,1.64
2002-04-23,1.65
